comments_sampled_per_video,repetition,seed,eligible_videos,topic_number,topic_label,metric,spearman_rho
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comment_count,0.027336362744869742
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",likes_per_1000_views,0.008997917681607227
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_1000_views,0.01257130333707664
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",views_per_day,0.024521691764957915
10,2,21260830,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_day,0.05240536948099677
10,2,21260830,591,11,"Product sourcing, access and location questions",duration_minutes,-0.06920037295996598
10,2,21260830,591,11,"Product sourcing, access and location questions",view_count,0.0663763328001628
10,2,21260830,591,11,"Product sourcing, access and location questions",like_count,0.04787201628865551
10,2,21260830,591,11,"Product sourcing, access and location questions",api_comment_count,-0.004835769346325229
10,2,21260830,591,11,"Product sourcing, access and location questions",likes_per_1000_views,-0.06834242337248192
10,2,21260830,591,11,"Product sourcing, access and location questions",api_comments_per_1000_views,-0.13314081735097602
10,2,21260830,591,11,"Product sourcing, access and location questions",views_per_day,0.0595370257065541
10,2,21260830,591,11,"Product sourcing, access and location questions",api_comments_per_day,-0.020387587863878592
10,2,21260830,591,12,Roof and attic ventilation and airflow,duration_minutes,-0.1180345221083233
10,2,21260830,591,12,Roof and attic ventilation and airflow,view_count,0.04395359056402411
10,2,21260830,591,12,Roof and attic ventilation and airflow,like_count,0.03296714092829506
10,2,21260830,591,12,Roof and attic ventilation and airflow,api_comment_count,0.017658503935416566
10,2,21260830,591,12,Roof and attic ventilation and airflow,likes_per_1000_views,-0.022551116837633063
10,2,21260830,591,12,Roof and attic ventilation and airflow,api_comments_per_1000_views,-0.05284420392749697
10,2,21260830,591,12,Roof and attic ventilation and airflow,views_per_day,0.06517804683280698
10,2,21260830,591,12,Roof and attic ventilation and airflow,api_comments_per_day,0.038790853562043925
10,2,21260830,591,13,"Wall, cavity and floor insulation",duration_minutes,-0.08134252022471918
10,2,21260830,591,13,"Wall, cavity and floor insulation",view_count,-0.03291219782139443
10,2,21260830,591,13,"Wall, cavity and floor insulation",like_count,-0.023185939613140447
10,2,21260830,591,13,"Wall, cavity and floor insulation",api_comment_count,-0.06655731855389015
10,2,21260830,591,13,"Wall, cavity and floor insulation",likes_per_1000_views,-0.059211665863645124
10,2,21260830,591,13,"Wall, cavity and floor insulation",api_comments_per_1000_views,-0.027966235333897527
10,2,21260830,591,13,"Wall, cavity and floor insulation",views_per_day,-0.0068340890008716584
10,2,21260830,591,13,"Wall, cavity and floor insulation",api_comments_per_day,-0.03250270358942263
