feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
leave,1,649,1.5291096293852933,5.178968476103798,0.0024631600330430716,0.1610845936555425
understand,1,649,1.5291096293852933,5.178968476103798,0.002296544622593116,0.15018835657429835
bought,1,647,1.5243974271375726,5.182050142641207,0.002305390748647759,0.1512329204711852
living,1,647,1.5243974271375726,5.182050142641207,0.0021824382646805454,0.14316727552988623
efficient,1,646,1.5220413260137124,5.18359454449258,0.0021073254790027456,0.13845389366147606
easy,1,644,1.517329123765992,5.186690522197709,0.0025019712076741413,0.16489311175048693
remove,1,644,1.517329123765992,5.186690522197709,0.002494817173585809,0.16442162313432063
hot water,2,643,1.5149730226421319,5.188242112889127,0.002325486724320221,0.15350020690563473
electricity,1,642,1.5126169215182717,5.189796114755861,0.00236453447908774,0.1563207739811853
gets,1,641,1.5102608203944112,5.19135253530352,0.0021632176790066975,0.14323470819045436
heat pumps,2,639,1.5055486181466908,5.194472662639764,0.0023270078269910974,0.15456211768541964
efficiency,1,637,1.5008364158989704,5.197602555648691,0.002176241911296347,0.14500193946805473
save,1,636,1.4984803147751102,5.199171183421318,0.002336334698809386,0.1559136063232182
cool,1,634,1.4937681125273896,5.202315840100789,0.002380528622625414,0.15936400052064742
years ago,2,633,1.4914120114035294,5.203891884556255,0.0020063127470705297,0.13452437902672115
exterior,1,626,1.4749193035365078,5.21499429836056,0.0023292136997789753,0.15792143300274608
pipe,1,625,1.4725632024126476,5.216590467893383,0.0027068567973009723,0.18381939687655227
try,1,617,1.4537143934217656,5.22945238153579,0.0022793372053750843,0.15679401784073696
price,1,616,1.4513582922979054,5.231071815088093,0.00295664945631369,0.20371602739337977
times,1,616,1.4513582922979054,5.231071815088093,0.002114602605474718,0.14569817919507053
stop,1,613,1.4442899889263248,5.235945910846339,0.0023472685727970117,0.16252058733315428
lower,1,596,1.4042362698207007,5.264023725600879,0.0019029031446981387,0.13551160766849513
advice,1,595,1.4018801686968405,5.265700171928131,0.0022407173617490497,0.1598365831675881
especially,1,589,1.387743561953679,5.2758183020937155,0.0018688596247329312,0.13466894575982988
