feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present,removal_basis
new subscriber,2,21,0.0494268835173111,8.565934508743918,0.0001291474056742,0.2612898011849135,N-gram containing a sensitivity stop word
no thanks,2,21,0.0494268835173111,8.565934508743918,0.0001614554098003,0.3266550474375463,N-gram containing a sensitivity stop word
not thanks,2,21,0.0494268835173111,8.565934508743918,0.0001188415963107,0.2404391858312445,N-gram containing a sensitivity stop word
thank making,2,21,0.0494268835173111,8.565934508743918,0.0001391983566991,0.2816247895750806,N-gram containing a sensitivity stop word
video used,2,21,0.0494268835173111,8.565934508743918,0.0001476931370683,0.2988113483154509,N-gram containing a sensitivity stop word
great what,2,20,0.0470732223974392,8.612454524378812,0.0001403547643533,0.2981626436539458,N-gram containing a sensitivity stop word
house thanks,2,20,0.0470732223974392,8.612454524378812,0.0001237505273726,0.262889432824168,N-gram containing a sensitivity stop word
like videos,2,20,0.0470732223974392,8.612454524378812,0.0001052773032253,0.2236458391068727,N-gram containing a sensitivity stop word
seen videos,2,20,0.0470732223974392,8.612454524378812,9.7440093410337e-05,0.2069968624362494,N-gram containing a sensitivity stop word
thank posting,2,20,0.0470732223974392,8.612454524378812,0.0001196494453419,0.2541772992121897,N-gram containing a sensitivity stop word
video quick,2,20,0.0470732223974392,8.612454524378812,0.0001302072104903,0.2766056876051194,N-gram containing a sensitivity stop word
video useful,2,20,0.0470732223974392,8.612454524378812,0.0001101202980767,0.2339340552194386,N-gram containing a sensitivity stop word
video wondering,2,20,0.0470732223974392,8.612454524378812,0.0001357788541133,0.2884418087357807,N-gram containing a sensitivity stop word
work thanks,2,20,0.0470732223974392,8.612454524378812,0.0001440182355767,0.3059451387474017,N-gram containing a sensitivity stop word
did video,2,19,0.0447195612775672,8.661244688548244,0.0001127310340656,0.2520843918077414,N-gram containing a sensitivity stop word
end video,2,19,0.0447195612775672,8.661244688548244,0.0001537658849356,0.3438447975399483,N-gram containing a sensitivity stop word
excellent job,2,19,0.0447195612775672,8.661244688548244,0.0001269408384203,0.2838597579981033,N-gram containing a sensitivity stop word
mentioned video,2,19,0.0447195612775672,8.661244688548244,9.663790021464013e-05,0.2160976034957586,N-gram containing a sensitivity stop word
video bought,2,19,0.0447195612775672,8.661244688548244,0.0001171408666818,0.2619454738269162,N-gram containing a sensitivity stop word
video love,2,19,0.0447195612775672,8.661244688548244,0.0001313238038662,0.2936607607823783,N-gram containing a sensitivity stop word
video watched,2,19,0.0447195612775672,8.661244688548244,0.0001038868277852,0.2323073501112423,N-gram containing a sensitivity stop word
watch video,2,19,0.0447195612775672,8.661244688548244,0.0001095548705973,0.2449819887930522,N-gram containing a sensitivity stop word
doing video,2,18,0.0423659001576952,8.712537982935794,0.0001087998044373,0.2568098495071378,N-gram containing a sensitivity stop word
great just,2,18,0.0423659001576952,8.712537982935794,9.57958231421371e-05,0.2261153965466655,N-gram containing a sensitivity stop word
installation video,2,18,0.0423659001576952,8.712537982935794,0.0001133514060285,0.2675533993298138,N-gram containing a sensitivity stop word
thanks excellent,2,18,0.0423659001576952,8.712537982935794,9.102215567095366e-05,0.2148476848884337,N-gram containing a sensitivity stop word
thanks information,2,18,0.0423659001576952,8.712537982935794,0.0001252560374772,0.2956529591276235,N-gram containing a sensitivity stop word
thoughts thanks,2,18,0.0423659001576952,8.712537982935794,8.585430359432193e-05,0.2026495442673309,N-gram containing a sensitivity stop word
video live,2,18,0.0423659001576952,8.712537982935794,9.686234031779593e-05,0.2286327918378997,N-gram containing a sensitivity stop word
videos how,2,18,0.0423659001576952,8.712537982935794,0.0001216295894265,0.2870931314425783,N-gram containing a sensitivity stop word
